lrp,lat,lon,type,name,district,roadId,chainage,gapPoint
N1_LRP030c,23.5604167,90.6542222,Bridge,Bridge start,MU,N1,30.697,BRIDGE_START
N1_LRP030d,23.5602222,90.6545,Bridge,Bridge end,MU,N1,30.735,BRIDGE_END
N1_LRP031,23.5599722,90.6548056,KmPost,"Ctg 229 km,Comilla 62 km",MU,N1,30.774,ROAD
N1_LRP031a,23.5590278,90.6559444,"SideRoad,Right",Road to Gazara (Z1063),MU,N1,30.936,ROAD
N1_LRP031b,23.5564444,90.6588611,Bridge,Bridge start,MU,N1,31.348,BRIDGE_START
N1_LRP031c,23.5562222,90.6591389,Bridge,Bridge end,MU,N1,31.388,BRIDGE_END
N1_LRP032,23.5538056,90.6619722,KmPost,"Ctg 228 km,Comilla 61 km",MU,N1,31.783,ROAD
N1_LRP032a,23.5523333,90.6636667,Culvert,Box culvert,MU,N1,32.025,ROAD
N1_LRP033,23.5487497,90.6678327,KmPost,"Ctg 227 km,Comilla 60 km",MU,N1,32.607,ROAD
N1_LRP033a,23.5474163,90.6694438,Bridge,Bridge start,MU,N1,32.831,BRIDGE_START
N1_LRP033b,23.5469441,90.6699993,Bridge,Bridge end,MU,N1,32.908,BRIDGE_END
N1_LRP033c,23.5442219,90.6731104,Culvert,Box culvert,MU,N1,33.351,ROAD
N1_LRP034,23.542583,90.6749438,KmPost,Km post missing,MU,N1,33.607,ROAD
N1_LRP035,23.5362497,90.681916,KmPost,Km post missing,MU,N1,34.607,ROAD
N1_LRP035a,23.536083,90.6821382,Bridge,Bridge start,MU,N1,34.641,BRIDGE_START
N1_LRP035b,23.5358608,90.6823604,Bridge,Bridge end,MU,N1,34.681,BRIDGE_END
N1_LRP035c,23.5341386,90.6843052,Culvert,Box culvert,MU,N1,34.956,ROAD
N1_LRP036,23.5301938,90.688833,KmPost,Km post missing,MU,N1,35.607,ROAD
N1_LRP036a,23.529916,90.6952219,Bridge,Daudkandi bridge,MU,N1,36.271,BRIDGE_START
N1_LRP038a,23.5307771,90.7090278,Bridge,Daudkandi bridge,CM,N1,37.685,BRIDGE_END
N1_LRP038b,23.5313882,90.7153611,Others / Others,Start of Comilla road Division / Start of Comilla road Division,CM,N1,38.04,ROAD
N1_LRP038c,23.5314716,90.7172216,"SideRoad,Right",Road to Matlab (Z1062),CM,N1,38.466,ROAD
N1_LRP038d,23.5315271,90.7173604,Bridge,Bridge start,CM,N1,38.543,BRIDGE_START
N1_LRP038e,23.5315827,90.7176104,Bridge,Bridge end,CM,N1,38.56,BRIDGE_END
N1_LRP039,23.5317216,90.7180271,KmPost,Km post missing,CM,N1,38.607,ROAD
N1_LRP039a,23.5322346,90.72262984,Culvert,Box culvert,CM,N1,39.12,ROAD
N1_LRP040,23.5327216,90.7269993,KmPost,Km post missing,CM,N1,39.607,ROAD
N1_LRP041,23.528916,90.7356108,KmPost,Km post missing,CM,N1,40.607,ROAD
N1_LRP042,23.5289993,90.7419441,KmPost,Ctg 214 km,CM,N1,41.261,ROAD
N1_LRP042a,23.5293882,90.7514167,Bridge,Bridge start,CM,N1,42.228,BRIDGE_START
N1_LRP042b,23.5293882,90.7515833,Bridge,Bridge end,CM,N1,42.245,BRIDGE_END
N1_LRP043,23.529416,90.75175,KmPost,Km post broken,CM,N1,42.269,ROAD
N1_LRP044,23.5299993,90.7615,KmPost,Km post Missing,CM,N1,43.269,ROAD
N1_LRP045,23.5304438,90.7713049,KmPost,Km post Missing,CM,N1,44.269,ROAD
N1_LRP045a,23.5304993,90.7731104,Culvert,Box culvert,CM,N1,44.454,ROAD
N1_LRP046,23.5308049,90.7811104,KmPost,Km post Missing,CM,N1,45.269,ROAD
N1_LRP046a,23.5307493,90.7816104,"SideRoad,Right","Z1402, road to Pennai",CM,N1,45.322,ROAD
N1_LRP046b,23.530666,90.7821938,"SideRoad,Left","Z1053, Road to Homna",CM,N1,45.388,ROAD
N1_LRP046c,23.5312216,90.7895552,Culvert,Box culvert,CM,N1,46.161,ROAD
N1_LRP047,23.531166,90.7907219,KmPost,Km post Missing,CM,N1,46.269,ROAD
N1_LRP047a,23.5306938,90.7924441,"SideRoad,Right",Z1044,CM,N1,47.224,ROAD
N1_LRP048,23.5308604,90.8002222,KmPost,Km post Missing,CM,N1,47.269,ROAD
N1_LRP048a,23.5308882,90.8041389,Bridge,Bridge start,CM,N1,47.672,BRIDGE_START
N1_LRP048b,23.530916,90.8043611,Bridge,Bridge end,CM,N1,47.692,BRIDGE_END
N1_LRP049,23.5316382,90.8099167,KmPost,Km post Missing,CM,N1,48.269,ROAD
N1_LRP050,23.5332493,90.8194716,KmPost,Km post Missing,CM,N1,49.269,ROAD
N1_LRP050a,23.5346663,90.8249716,Bridge,Bridge start,CM,N1,49.863,BRIDGE_START
N1_LRP050b,23.5347219,90.8251104,Bridge,Bridge end,CM,N1,49.879,BRIDGE_END
N1_LRP051,23.5344997,90.8287216,KmPost,Km post Missing,CM,N1,50.269,ROAD
N1_LRP052,23.5292216,90.8365274,KmPost,Km post Missing,CM,N1,51.269,ROAD
N1_LRP052a,23.5270549,90.8391386,Culvert,Box culvert,CM,N1,51.636,ROAD
N1_LRP053,23.523166,90.8438886,KmPost,Km post Missing,CM,N1,52.269,ROAD
N1_LRP054,23.5174993,90.8513889,KmPost,Km post Missing,CM,N1,53.269,ROAD
N1_LRP055,23.5170827,90.8607778,KmPost,Km post Missing,CM,N1,54.269,ROAD
N1_LRP056,23.5135833,90.8697771,KmPost,Km post Missing,CM,N1,55.269,ROAD
N1_LRP056a,23.5133056,90.8703049,Bridge,Bridge start,CM,N1,55.333,BRIDGE_START
N1_LRP056b,23.5131111,90.8706382,Bridge,Bridge end,CM,N1,55.375,BRIDGE_END
N1_LRP056c,23.5126667,90.871416,"SideRoad,Left","Z1042, road to Bancharampur",CM,N1,55.477,ROAD
N1_LRP057,23.5088056,90.8778604,KmPost,Km post Missing,CM,N1,56.269,ROAD
N1_LRP058,23.506,90.8869163,KmPost,Km post Missing,CM,N1,57.269,ROAD
N1_LRP058a,23.5056111,90.8958886,Culvert,Box culvert,CM,N1,58.191,ROAD
N1_LRP059,23.5056389,90.8966108,KmPost,Km post Missing,CM,N1,58.269,ROAD
N1_LRP060,23.5062778,90.9063889,KmPost,Km post Missing,CM,N1,59.269,ROAD
N1_LRP060a,23.50575,90.91525,Culvert,Box culvert,CM,N1,60.18,ROAD
N1_LRP061,23.5057222,90.9160278,KmPost,Km post Missing,CM,N1,60.269,ROAD
N1_LRP062,23.5055278,90.9257216,KmPost,Km post Missing,CM,N1,61.269,ROAD
N1_LRP063,23.5042778,90.9354163,KmPost,Km post Missing,CM,N1,62.269,ROAD
N1_LRP063a,23.5043333,90.9354719,"SideRoad,Left","Z1017, Road to Companiganj",CM,N1,62.278,ROAD
N1_LRP063b,23.5038611,90.9371386,Culvert,Box culvert,CM,N1,62.542,ROAD
N1_LRP063c,23.5028611,90.9412774,Culvert,Box culvert,CM,N1,62.894,ROAD
N1_LRP064,23.5020278,90.9448886,KmPost,Km post Missing,CM,N1,63.269,ROAD
N1_LRP065,23.4995274,90.9541667,KmPost,Km post Missing,CM,N1,64.269,ROAD
N1_LRP066,23.4986386,90.9651111,KmPost,Km post Missing,CM,N1,65.269,ROAD
N1_LRP066a,23.4980552,90.9660278,Culvert,Box culvert,CM,N1,65.543,ROAD
N1_LRP067,23.4972774,90.9674716,KmPost,Ctg 191 km,CM,N1,65.726,ROAD
N1_LRP068,23.4942219,90.9765549,KmPost,Km post Missing,CM,N1,66.726,ROAD
N1_LRP068a,23.4951386,90.9829993,Culvert,Box culvert,CM,N1,67.42,ROAD
N1_LRP069,23.4942497,90.985833,KmPost,Km post Missing,CM,N1,67.726,ROAD
N1_LRP070,23.4911386,90.9950274,KmPost,Km post Missing,CM,N1,68.726,ROAD
N1_LRP070a,23.4894441,91.0033056,"SideRoad,Left",Road to Debiduar (Z1008),CM,N1,69.616,ROAD
N1_LRP070b,23.4893886,91.0034722,"SideRoad,Right",Road to Jhalam (Z1022),CM,N1,69.638,ROAD
N1_LRP071,23.4896108,91.0043056,KmPost,Ctg 188 km,CM,N1,69.709,ROAD
N1_LRP072,23.4893052,91.0112778,KmPost,"Ctg 188 km,Comilla 20 km",CM,N1,70.443,ROAD
N1_LRP072a,23.4890552,91.0120278,Bridge,Bridge start,CM,N1,70.527,BRIDGE_START
N1_LRP072b,23.4889441,91.01225,Bridge,Bridge end,CM,N1,70.557,BRIDGE_END
N1_LRP073,23.488333,91.0140833,KmPost,Ctg 187 km,CM,N1,70.755,ROAD
N1_LRP074,23.4846386,91.0229438,KmPost,Km post missing,CM,N1,71.775,ROAD
N1_LRP075,23.4827771,91.0321382,KmPost,Km post missing,CM,N1,72.775,ROAD
N1_LRP075a,23.481166,91.0404441,Culvert,Box culvert,CM,N1,73.688,ROAD
N1_LRP076,23.4814716,91.0419719,KmPost,Ctg 184 km,CM,N1,73.829,ROAD
N1_LRP076a,23.4820827,91.0504167,Culvert,Box culvert,CM,N1,74.7,ROAD
N1_LRP077,23.4821382,91.0516944,KmPost,Km post missing,CM,N1,74.829,ROAD
N1_LRP077a,23.4815271,91.0590278,"SideRoad,Left",Road to Khangsanagar (Z1219) left road to Barua Z1028 right,CM,N1,75.589,ROAD
N1_LRP078,23.4815549,91.0613611,KmPost,Km post missing,CM,N1,75.829,ROAD
N1_LRP079,23.4801104,91.0706382,KmPost,Km post missing,CM,N1,76.829,ROAD
N1_LRP079a,23.4770827,91.0789993,Culvert,Box culvert,CM,N1,77.773,ROAD
N1_LRP080,23.4770271,91.0794716,KmPost,Km post missing,CM,N1,77.829,ROAD
N1_LRP081,23.4781938,91.0889997,KmPost,Km post missing,CM,N1,78.829,ROAD
N1_LRP082,23.4775549,91.0986663,KmPost,Km post missing,CM,N1,79.829,ROAD
N1_LRP082a,23.4778604,91.1036111,Culvert,Box culvert,CM,N1,80.342,ROAD
N1_LRP083,23.4779993,91.1055278,KmPost,Km post missing,CM,N1,80.829,ROAD
N1_LRP083a,23.4789438,91.1177216,Culvert,Box culvert,CM,N1,81.801,ROAD
N1_LRP084,23.4789716,91.1179993,KmPost,Km post missing,CM,N1,81.829,ROAD
N1_LRP084a,23.4789716,91.118166,"SideRoad,Left",Road to Brahmanbaria(N102),CM,N1,81.846,ROAD
N1_LRP084b,23.4793327,91.1234716,Culvert,Box culvert,CM,N1,82.393,ROAD
N1_LRP085,23.4800827,91.1276382,KmPost,Km post missing,CM,N1,82.829,ROAD
N1_LRP086,23.4767216,91.1364441,KmPost,Km post missing,CM,N1,83.829,ROAD
N1_LRP087,23.4682216,91.1394441,KmPost,Km post missing,CM,N1,84.829,ROAD
N1_LRP088,23.4595833,91.1421386,KmPost,Km post missing,CM,N1,85.829,ROAD
N1_LRP088a,23.459,91.142333,CrossRoad,Cross road Z1029,CM,N1,85.897,ROAD
N1_LRP089,23.4513056,91.1460552,KmPost,Km post missing,CM,N1,86.829,ROAD
N1_LRP089a,23.448833,91.1471386,Bridge,Bridge start,CM,N1,87.132,BRIDGE_START
N1_LRP089b,23.4486386,91.1472497,Bridge,Bridge end,CM,N1,87.156,BRIDGE_END
N1_LRP089c,23.4469441,91.1481386,CrossRoad,Cross Road with Z1052,CM,N1,87.366,ROAD
N1_LRP090,23.4425274,91.1497774,KmPost,Km post missing,CM,N1,87.829,ROAD
N1_LRP091,23.4373886,91.1521944,KmPost,Ctg 170 km,CM,N1,88.513,ROAD
N1_LRP092,23.4288882,91.1553889,KmPost,Km post missing,CM,N1,89.513,ROAD
N1_LRP093,23.4236938,91.1626944,KmPost,Ctg 168 km,CM,N1,90.493,ROAD
N1_LRP093a,23.4235827,91.1629722,Bridge,Bridge start,CM,N1,90.521,BRIDGE_START
N1_LRP093b,23.423416,91.1632778,Bridge,Bridge end,CM,N1,90.558,BRIDGE_END
N1_LRP093c,23.4213604,91.167666,RailRoadCrossing,Rail Road Crossing,CM,N1,91.066,ROAD
N1_LRP094,23.4195271,91.171416,KmPost,Km post missing,CM,N1,91.493,ROAD
N1_LRP094a,23.4191382,91.1721938,CrossRoad,Left to Comilla Right to Noakhali,CM,N1,91.583,ROAD
N1_LRP095,23.4149444,91.1801382,KmPost,"Ctg 66 km,Feni 52 km",CM,N1,92.121,ROAD
N1_LRP095a,23.4131111,91.1846663,Bridge,Bridge start,CM,N1,92.632,BRIDGE_START
N1_LRP095b,23.4130556,91.1849163,Bridge,Bridge end,CM,N1,92.66,BRIDGE_END
N1_LRP096,23.4125,91.1893886,KmPost,Km post missing,CM,N1,93.121,ROAD
N1_LRP097,23.4113056,91.1988886,KmPost,Ctg 164 km,CM,N1,94.129,ROAD
N1_LRP098,23.4100833,91.2087778,KmPost,Ctg 163 km,CM,N1,95.156,ROAD
N1_LRP098a,23.4100278,91.2090833,Culvert,Box culvert,CM,N1,95.193,ROAD
N1_LRP099,23.4048056,91.2165278,KmPost,Ctg 162 km,CM,N1,96.173,ROAD
N1_LRP099a,23.40375,91.2176382,Bridge,Bridge start,CM,N1,96.345,BRIDGE_START
N1_LRP099b,23.4035556,91.2178049,Bridge,Bridge end,CM,N1,96.374,BRIDGE_END
N1_LRP100,23.39821345,91.22288777,KmPost,Km post missing,CM,N1,97.173,ROAD
N1_LRP101,23.3915274,91.2292493,KmPost,Km post missing,CM,N1,98.173,ROAD
N1_LRP101a,23.3914441,91.2293049,Culvert,Box culvert,CM,N1,98.183,ROAD
N1_LRP101b,23.385083,91.2345552,Culvert,Box culvert,CM,N1,99.075,ROAD
N1_LRP101c,23.3849719,91.2346108,Culvert,Box culvert,CM,N1,99.09,ROAD
N1_LRP102,23.3843886,91.2351108,KmPost,Km post missing,CM,N1,99.173,ROAD
N1_LRP102a,23.3779716,91.2403608,Bridge,Bridge start,CM,N1,100.071,BRIDGE_START
N1_LRP102b,23.3777493,91.2405274,Bridge,Bridge end,CM,N1,100.101,BRIDGE_END
N1_LRP103,23.377166,91.2409163,KmPost,Km post missing,CM,N1,100.173,ROAD
N1_LRP104,23.3695827,91.2462774,KmPost,Km post missing,CM,N1,101.173,ROAD
N1_LRP104a,23.3683327,91.2471108,Culvert,Box culvert,CM,N1,101.344,ROAD
N1_LRP105,23.3615278,91.2515556,KmPost,"Ctg 156 km,Feni 43 km",CM,N1,102.248,ROAD
N1_LRP105a,23.3586389,91.25325,Bridge,Bridge start,CM,N1,102.614,BRIDGE_START
N1_LRP105b,23.3584444,91.2533333,Bridge,Bridge end,CM,N1,102.638,BRIDGE_END
N1_LRP106,23.3536944,91.2561389,KmPost,Km post missing,CM,N1,103.248,ROAD
N1_LRP106a,23.3486386,91.2599444,Culvert,Box culvert,CM,N1,103.935,ROAD
N1_LRP107,23.3463608,91.2616944,KmPost,Km post missing,CM,N1,104.248,ROAD
N1_LRP108,23.3390552,91.2672216,KmPost,Km post missing,CM,N1,105.248,ROAD
N1_LRP108a,23.3360274,91.2700549,Bridge,Bridge start,CM,N1,105.692,BRIDGE_START
N1_LRP108b,23.3357219,91.2703049,Bridge,Bridge end,CM,N1,105.736,BRIDGE_END
N1_LRP108c,23.3347219,91.271166,"SideRoad,Right",Road to Harishchar (Z1046),CM,N1,105.879,ROAD
N1_LRP109,23.3321938,91.2734716,KmPost,Km post missing,CM,N1,106.248,ROAD
N1_LRP110,23.3246382,91.278666,KmPost,Km post missing,CM,N1,107.248,ROAD
N1_LRP110a,23.324166,91.2791104,Bridge,Bridge start,CM,N1,107.321,BRIDGE_START
N1_LRP110b,23.3240827,91.279166,Bridge,Bridge end,CM,N1,107.331,BRIDGE_END
N1_LRP111,23.3171382,91.2836941,KmPost,Km post missing,CM,N1,108.248,ROAD
N1_LRP111a,23.3149444,91.2844719,Bridge,Bridge start,CM,N1,108.518,BRIDGE_START
N1_LRP111b,23.31475,91.2845552,Bridge,Bridge end,CM,N1,108.537,BRIDGE_END
N1_LRP111c,23.3096389,91.2861386,Culvert,Box culvert,CM,N1,109.135,ROAD
N1_LRP112,23.3086944,91.2864163,KmPost,Km post missing,CM,N1,109.248,ROAD
N1_LRP112a,23.30425,91.288583,Culvert,Box culvert,CM,N1,109.795,ROAD
N1_LRP113,23.3006111,91.290333,KmPost,Km post missing,CM,N1,110.248,ROAD
N1_LRP113a,23.296083,91.2914997,Bridge,Bridge start,CM,N1,110.767,BRIDGE_START
N1_LRP113b,23.2959719,91.2915274,Bridge,Bridge end,CM,N1,110.781,BRIDGE_END
N1_LRP114,23.2919163,91.2922219,KmPost,Km post missing,CM,N1,111.248,ROAD
N1_LRP114a,23.2876663,91.2936386,Culvert,Box culvert,CM,N1,111.75,ROAD
N1_LRP115,23.283583,91.2952219,KmPost,Km post missing,CM,N1,112.248,ROAD
N1_LRP115a,23.2787216,91.3002778,Culvert,Box culvert,CM,N1,113.022,ROAD
N1_LRP116,23.2768882,91.3011944,KmPost,Km post missing,CM,N1,113.248,ROAD
N1_LRP117,23.2686382,91.3049722,KmPost,Km post missing,CM,N1,114.248,ROAD
N1_LRP117a,23.2677493,91.3054722,Culvert,Box culvert,CM,N1,114.364,ROAD
N1_LRP117b,23.2654444,91.3064444,Culvert,Box culvert,CM,N1,114.641,ROAD
N1_LRP117c,23.2636667,91.30675,Culvert,Box culvert,CM,N1,114.844,ROAD
N1_LRP118,23.2601111,91.3072778,KmPost,Km post missing,CM,N1,115.248,ROAD
N1_LRP118a,23.2587222,91.3074444,Culvert,Box culvert,CM,N1,115.404,ROAD
N1_LRP119,23.2511944,91.3086389,KmPost,Km post missing,CM,N1,116.248,ROAD
N1_LRP119a,23.249833,91.3091944,Culvert,Box culvert,CM,N1,116.422,ROAD
N1_LRP119b,23.248333,91.3098056,Bridge,Bridge start,CM,N1,116.608,BRIDGE_START
N1_LRP119c,23.2481663,91.3098889,Bridge,Bridge end,CM,N1,116.631,BRIDGE_END
N1_LRP119d,23.2452774,91.3110556,Culvert,Box culvert,CM,N1,116.978,ROAD
N1_LRP120,23.243083,91.3119167,KmPost,Km post missing,CM,N1,117.248,ROAD
N1_LRP120a,23.2416941,91.3123611,Culvert,Box culvert,CM,N1,117.411,ROAD
N1_LRP120b,23.2344997,91.3131667,Culvert,Box culvert,CM,N1,118.228,ROAD
N1_LRP121,23.2343052,91.3131667,KmPost,Km post missing,CM,N1,118.248,ROAD
N1_LRP121a,23.2314993,91.3132222,Culvert,Box culvert,CM,N1,118.563,ROAD
N1_LRP121b,23.2275549,91.3135278,Culvert,Box culvert,CM,N1,119.011,ROAD
N1_LRP122,23.2253882,91.3135833,KmPost,Km post missing,CM,N1,119.248,ROAD
N1_LRP122a,23.221416,91.3137222,"SideRoad,Right",Road to Bangadda (Z1045),CM,N1,119.698,ROAD
N1_LRP122b,23.2184993,91.3143889,Culvert,Box culvert,CM,N1,120.026,ROAD
N1_LRP123,23.2165556,91.3149167,KmPost,Km post missing,CM,N1,120.248,ROAD
N1_LRP123a,23.2103056,91.3157222,Culvert,Box culvert,CM,N1,120.966,ROAD
N1_LRP124,23.2078889,91.3159722,KmPost,Km post missing,CM,N1,121.248,ROAD
N1_LRP124a,23.201,91.3168049,Culvert,Box culvert,CM,N1,122.019,ROAD
N1_LRP125,23.1990274,91.3170549,KmPost,Km post missing,CM,N1,122.248,ROAD
N1_LRP125a,23.1921108,91.3185549,Culvert,Box culvert,CM,N1,123.113,ROAD
N1_LRP126,23.1909997,91.3192493,KmPost,Km post missing,CM,N1,123.248,ROAD
N1_LRP126a,23.1866941,91.3212493,Bridge,Bridge start,CM,N1,123.771,BRIDGE_START
N1_LRP126b,23.1866108,91.3212771,Bridge,Bridge end,CM,N1,123.783,BRIDGE_END
N1_LRP127,23.1826382,91.3210827,KmPost,Km post missing,CM,N1,124.248,ROAD
N1_LRP127a,23.1773604,91.3198049,Culvert,Box culvert,CM,N1,124.862,ROAD
N1_LRP128,23.172916,91.3205271,KmPost,Ctg 133 km,CM,N1,125.377,ROAD
N1_LRP128a,23.1681382,91.3213604,Bridge,Bridge start,CM,N1,125.923,BRIDGE_START
N1_LRP128b,23.1680549,91.3213604,Bridge,Bridge end,CM,N1,125.937,BRIDGE_END
N1_LRP129,23.1641389,91.3214993,KmPost,Km post missing,CM,N1,126.377,ROAD
N1_LRP129a,23.1571667,91.3224993,Culvert,Box culvert,CM,N1,127.169,ROAD
